date,price,market_cap,volume,token,name,tvl_usd,volume_to_marketcap,price_change_%,market_cap_trend,tvl_trend,year,month,quarter,month_name
2024-07-08,0.0122006232122169,149868355.30354533,2988526.632319634,one,Harmony,2104075,0.0199410117383795,-7.047414100956106,-7.084820237907019,-7.029536070061171,2024,7,3,July
2024-07-09,0.0124930605326608,153639688.41372547,4637165.657702658,one,Harmony,2156863,0.0301820818928997,2.396904775741593,2.516430571711848,2.5088459299217103,2024,7,3,July
2024-07-10,0.0131646598074268,162172146.966754,3759532.720430104,one,Harmony,2262125,0.0231823577028971,5.3757786013307385,5.553551065563256,4.880328514142995,2024,7,3,July
2024-07-11,0.0132033324493009,162622833.51524907,3055997.1004234925,one,Harmony,2257087,0.0187919312089524,0.2937610423650483,0.2779062600604787,-0.2227109465657295,2024,7,3,July
2024-07-12,0.0132575593459228,163060038.38779214,4134621.761515756,one,Harmony,2224478,0.0253564380481913,0.4107061367275344,0.2688459320825176,-1.4447382843461476,2024,7,3,July
2024-07-13,0.013522202818286,166227296.32999247,2986714.093949344,one,Harmony,2245786,0.0179676512816532,1.9961703768996752,1.9423875852818684,0.957887648248268,2024,7,3,July
2024-07-14,0.0135657728729877,166882652.9727347,2847926.82121855,one,Harmony,2174714,0.0170654455120859,0.3222112202223126,0.3942533249420288,-3.1646826545360995,2024,7,3,July
2024-07-15,0.0140403475556619,173154000.55791408,3853363.552152625,one,Harmony,2261720,0.022253967795932,3.498323959257688,3.75793857148472,4.000801944531562,2024,7,3,July
2024-07-16,0.0149272770973481,183452455.2406844,4552371.820423579,one,Harmony,2343603,0.0248149953319021,6.31700560238968,5.947569590993007,3.620386254708796,2024,7,3,July
2024-07-17,0.0147350846132239,181364656.8726844,4657085.763711828,one,Harmony,2396316,0.0256780226313941,-1.2875253997818523,-1.138059648894263,2.249229071647374,2024,7,3,July
2024-07-18,0.0153120701159473,188637153.15636235,6348594.659721772,one,Harmony,2483193,0.0336550597456238,3.915725751622534,4.00987513723976,3.625440050477491,2024,7,3,July
2024-07-19,0.0149784158030516,184257467.9626472,4177355.692687485,one,Harmony,2450515,0.0226712965226154,-2.17902811552696,-2.3217511081100817,-1.315966982832184,2024,7,3,July
2024-07-20,0.0157105433264392,193394088.71006548,3552120.410682928,one,Harmony,2028790,0.018367264658271,4.887883558676953,4.958616249557091,-17.209647767918167,2024,7,3,July
2024-07-21,0.0155126526799473,190940371.13341564,3197761.9267878267,one,Harmony,2486082,0.0167474374738355,-1.259604091214772,-1.2687655517374383,22.54013476012795,2024,7,3,July
2024-07-22,0.0156979670696583,193173309.89928368,4046280.305276557,one,Harmony,2614681,0.0209463735305161,1.1946015522575903,1.1694429798231765,5.172757777096648,2024,7,3,July
2024-07-23,0.0148547136584349,182793581.38336253,3245809.0388005576,one,Harmony,2130512,0.0177566904386719,-5.371736400525928,-5.3732725920226265,-18.51732582292065,2024,7,3,July
2024-07-24,0.014470997215504,178170887.0717515,3112702.7090646317,one,Harmony,1926152,0.0174703216682706,-2.583129178750676,-2.5289150070954003,-9.592060500011268,2024,7,3,July
2024-07-25,0.013678510128578,168168030.79406297,3294378.2511503007,one,Harmony,2322948,0.0195898009603535,-5.476382001351876,-5.614192330793244,20.600451054745417,2024,7,3,July
2024-07-26,0.0135051687007899,166168358.64804497,4257220.706718637,one,Harmony,1796819,0.0256199239214711,-1.2672537151978025,-1.1890917296086934,-22.649194041364684,2024,7,3,July
2024-07-27,0.0142202238333985,174975591.16736272,3860741.911652133,one,Harmony,1868112,0.0220644598820607,5.294677530142944,5.300186263482343,3.967734090078068,2024,7,3,July
2024-07-28,0.0146116846826822,179876474.31815597,4778628.498282276,one,Harmony,1944666,0.026566167234466,2.752845903622614,2.800895323797259,4.097934170970485,2024,7,3,July
2024-07-29,0.013923346392403,171338857.98612404,3248066.797576858,one,Harmony,2456510,0.0189569770439342,-4.710875612412934,-4.74637740393502,26.32040669194606,2024,7,3,July
2024-07-30,0.0143742880721366,176768885.62095755,4560755.971079367,one,Harmony,1897764,0.0258006716230531,3.238744961338269,3.1691746394581832,-22.745521084791022,2024,7,3,July
2024-07-31,0.0136112198402804,167478929.9177269,5360140.311804447,one,Harmony,2368812,0.0320048636233679,-5.308563652174314,-5.255424714930279,24.82121064579157,2024,7,3,July
2024-08-01,0.013131769350148,161444557.45016813,6378259.621616736,one,Harmony,2387038,0.0395074304290837,-3.5224652585033045,-3.603063663305661,0.7694152174170021,2024,8,3,August
2024-08-02,0.0131741030563285,162171444.26701963,9465852.178633908,one,Harmony,2341988,0.0583694140569416,0.3223762544998676,0.4502392823467316,-1.8872761975301635,2024,8,3,August
2024-08-03,0.0121211713039995,148858460.96763676,6553498.5534237735,one,Harmony,2216669,0.0440250323080296,-7.992435977060552,-8.209203142732502,-5.350966785483102,2024,8,3,August
