date,token,name,is_seasonal_outlier_price,is_seasonal_outlier_market_cap,is_seasonal_outlier_volume,is_seasonal_outlier_volume_to_marketcap,trend_score,price_volatility,pca_1,is_healthy
2025-04-18,kava,Kava,0,0,0,0,5.145754315207873,0.018054384954394057,312389885.85274196,1
2025-04-20,kava,Kava,0,0,0,0,-12.657556974245088,0.019711608014366496,294814329.9056418,0
2025-04-21,kava,Kava,0,0,0,0,-1.4558619273812523,0.018890502659487596,290456345.800526,0
2025-04-22,kava,Kava,0,0,0,0,1.3482515971514286,0.01713519625706518,289532830.75329626,0
2025-04-25,kava,Kava,0,0,0,0,28.696352048535267,0.042011510131348996,335418577.3722708,1
2025-04-26,kava,Kava,0,0,0,0,7.8527886300692185,0.04258455014842255,350530607.4146979,1
2025-04-27,kava,Kava,0,0,0,0,-1.5441935637830362,0.04285780573087023,347053586.9403939,1
2025-04-29,kava,Kava,0,0,0,0,-4.7419908909042014,0.04345006029201893,342937655.22795355,1
2025-04-30,kava,Kava,0,0,0,0,-12.234396417431748,0.04604754115349485,318105468.69379103,1
2025-05-01,kava,Kava,0,0,0,0,-2.008603200327619,0.04605201012000204,313526312.63754857,1
2025-05-02,kava,Kava,0,0,0,0,0.6947094900615625,0.04584393900619818,314052513.55418265,1
2025-05-03,kava,Kava,0,0,0,0,-0.5682350099013966,0.022753484654978607,312275445.40974,0
2025-05-04,kava,Kava,0,0,0,0,-6.486581575038042,0.016840424972070847,300576649.0252445,0
2025-05-06,kava,Kava,0,0,0,0,4.078727458832088,0.021663331835768008,310758293.06109416,0
2025-05-07,kava,Kava,0,0,0,0,3.4272563311178894,0.024700877193835506,320181374.43258226,0
2025-05-08,kava,Kava,0,0,0,0,-2.3292710708802122,0.017131731108643685,314636992.50273705,0
2025-05-09,kava,Kava,0,0,0,0,28.047849584932894,0.03392586579204446,355581735.7919164,1
2025-05-10,kava,Kava,0,0,0,0,13.693076189518361,0.035796044830954166,380452425.8954371,1
2025-05-11,kava,Kava,0,0,0,0,4.619488673653627,0.03445148105974232,391986946.2159275,1
2025-05-12,kava,Kava,0,0,0,0,-7.7109972430874585,0.03603067943579096,374895625.5984405,1
2025-05-13,kava,Kava,0,0,1,0,-9.78218434630751,0.04028383287147382,360258611.88427687,1
2025-05-14,kava,Kava,0,0,0,0,1.1524705086340736,0.04043240105263878,360709808.6856148,1
2024-06-01,kda,Kadena,0,0,0,0,0.0,0.0,38083476.509170026,1
2024-06-02,kda,Kadena,0,0,0,0,-0.12001780126342787,0.0,39229067.630672604,0
2024-06-07,kda,Kadena,0,0,0,0,7.239834814178603,0.013943400954004686,43718780.81279957,0
2024-06-08,kda,Kadena,0,0,0,0,-15.323142174902493,0.035529031894973716,33054103.438248515,0
2024-06-09,kda,Kadena,0,0,0,0,-14.997097455434847,0.03468786057104645,22905152.731877834,0
2024-06-10,kda,Kadena,0,0,0,0,2.6650765802757492,0.032599963536925854,24712780.89592427,0
2024-06-11,kda,Kadena,0,0,0,0,-10.614126096515196,0.03084495818348936,16849885.095388174,0
2024-06-12,kda,Kadena,0,0,0,0,-22.511208059916086,0.035912157104293824,2490780.767296523,0
2024-06-13,kda,Kadena,0,0,0,0,13.809035074757414,0.04422998349761905,10115624.521373272,0
2024-06-14,kda,Kadena,0,0,0,0,-15.948721777732844,0.04201740246336959,196177.01547524333,0
2024-06-15,kda,Kadena,0,0,0,0,-9.219803103133318,0.041206738163085954,-4580946.607873023,0
2024-06-16,kda,Kadena,0,0,0,0,-2.2813265462487298,0.040788321846937974,-5543615.091038018,0
2024-06-17,kda,Kadena,0,0,0,0,0.838036698301714,0.04025706723503117,-4872105.961737424,0
2024-06-21,kda,Kadena,0,0,0,0,-21.21651965068727,0.04580172960900575,-17998696.34785816,0
2024-06-22,kda,Kadena,0,0,0,0,-7.1040020063980585,0.040367930901233605,-21871474.14046094,0
2024-06-23,kda,Kadena,0,0,0,0,-3.94488340057515,0.029821036151234468,-23722517.47660148,0
2024-06-24,kda,Kadena,0,0,0,0,-5.831157658067965,0.02734990893231099,-26552403.36566907,0
2024-06-25,kda,Kadena,0,0,0,0,5.12924819135121,0.0316852998874201,-23198495.189650565,0
2024-06-26,kda,Kadena,0,0,0,0,6.373736481331327,0.03434363684390015,-20433336.17417422,0
2024-06-28,kda,Kadena,0,0,0,0,-8.701211368640237,0.03392847256543353,-24949611.07997009,0
2024-06-29,kda,Kadena,0,0,0,0,-3.5702153424052585,0.01989790775894774,-27052769.100192785,0
2024-06-30,kda,Kadena,0,0,0,0,0.9260870597149751,0.019207360501380784,-25770707.945871353,0
