date,price,market_cap,volume,token,name,tvl_usd,volume_to_marketcap,price_change_%,market_cap_trend,tvl_trend
2024-11-09,0.0128151033282529,157698572.31357786,10402316.228019947,one,Harmony,1747502,0.0659632872727301,1.5206105821424565,1.4586802733980608,-22.236921911719097
2024-11-10,0.0137836344995244,169404360.69768646,11389800.404718742,one,Harmony,2294734,0.0672343991489369,7.557732048372845,7.42288798964652,31.315100068555
2024-11-11,0.0145529696484262,178745102.12209556,19398350.11463947,one,Harmony,2529419,0.1085252120720433,5.581511530419592,5.513873070291431,10.227111290458948
2024-11-12,0.0162809544468558,199362966.80148607,25918357.867457237,one,Harmony,2605941,0.1300058796439622,11.873760752441996,11.534785812092952,3.0252797183859315
2024-11-13,0.0149787367489131,184863537.2959583,24071396.483578403,one,Harmony,2430086,0.1302117055406181,-7.998411285981167,-7.272880083072519,-6.748234131164132
2024-11-14,0.0139030286498573,171168897.08752984,23015307.426114637,one,Harmony,1864671,0.134459635002178,-7.181567558651825,-7.407972609819735,-23.26728354469759
2024-11-15,0.0130337518178054,160387385.7599933,14444108.649730569,one,Harmony,2245176,0.0900576350271398,-6.252427826657403,-6.298756088860724,20.406012642444704
2024-11-16,0.0138835184749887,170752955.19058266,13394519.785341332,one,Harmony,2370795,0.0784438534044186,6.51973943544355,6.462833334100582,5.595062480625135
2024-11-17,0.0149362026927826,183904596.58610576,17236669.17219782,one,Harmony,2400058,0.0937261465573398,7.582258198383318,7.702145699817686,1.2343116971311296
2024-11-18,0.0138698392075052,170686822.26753756,19320307.72284868,one,Harmony,2355581,0.1131915602281568,-7.139455102552694,-7.187299591165752,-1.853163548547576
2024-11-19,0.0161170800036027,198263193.57278892,37972900.75680167,one,Harmony,2469705,0.1915277368053721,16.202356512406336,16.156122036197786,4.844834459099467
2024-11-20,0.0152744883992714,187896299.44695133,21238581.48552724,one,Harmony,2423803,0.1130335272596654,-5.22794205987015,-5.2288546043376405,-1.8586025456481687
2024-11-21,0.0142517816408096,175344694.12438273,16495912.224486465,one,Harmony,2360161,0.0940770538102789,-6.695522178736768,-6.680070528005411,-2.62570844247656
2024-11-22,0.0155921345422944,192125780.39462823,21756238.47738123,one,Harmony,2441496,0.1132395581305835,9.404809414471616,9.570341637108037,3.4461632066626
2024-11-23,0.0172072641859982,211598550.37964445,59927577.43724381,one,Harmony,2626872,0.2832135538250303,10.358617925741331,10.135427918636909,7.592721839396832
2024-11-24,0.0208917430297092,256814486.96802577,127995667.22728217,one,Harmony,3077722,0.4983973791292312,21.41234541345105,21.368736462162,17.162998425503794
